,label,sentence
37,1, यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।
38,1, यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।
39,1," जनता को नाम मा नेता ले खान हुने , किसानकाे नाम मा गुठी हामी ले खान नहुने वा रे वा , , ।"
40,1, यस को बिरोध गर्ने हरु सबै नहोलान तर मुख्यपात्र हरु अहिले सम्म त्यही गुठी को चल अचल सम्पती माथी रजाइ गर्ने हरुनै हुन अब रजाइ गर्न नपाइने भो भनेर सडक मा आयर रोय का हुन यो हामी सबै ले बुझ्नु पर्छ ।
41,1, परिबर्तन बिरोधी हरु परिबर्तन स्युकार्न गार्हो भा को मात्र हो यी सब नाटक हुन ।
42,1, जस ले जे भने पनि आखिर नेपाल को धर्म सस्कृती परम्परा मौलिक लाई मास्ने नै हो किन अहिले कि सरकार नस्तिक र होलि वाइन खाने हरु को छ ।
43,1, पक्कै पनि हिन्दुत्व समाप्त पार्ने खेल हो कि जस्तो भान आमनागरिक मा भए को छ पछिल्लो गुठी काण्ड ले ।
44,1," बाकिनै अब यहि त थियो , गुठी , अरुत सबै खतम भै सके को , नदिनाला , कलकारखाना , धर्म , सस्कृती , गै त सक्यो , बा की आस लाग्दो नेपाली सेना छ , गुठी , ।"
45,1," बाकिनै अब यहि त थियो , गुठी , अरुत सबै खतम भै सके को , नदिनाला , कलकारखाना , धर्म , सस्कृती , गै त सक्यो , बा की आस लाग्दो नेपाली सेना छ , गुठी , ।"
46,1, बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले फ्ड् लाइ निल्दिन्छ ।
47,1, बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले फ्ड् लाइ निल्दिन्छ ।
48,1, बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले फ्ड् लाइ निल्दिन्छ ।
49,1, देउता पनि बेच्न लागे बाहुन क्षेत्री ले ।
50,1, यो दुइ जना बाहुन हरु भु माफिया को एजेन्ट हरु हुन ।
51,1, यो नेपाल का बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद / किराँत मासेर किश्नन बनाउने पनि यिनै हुनु देश को सब स्रम्पदा मासने भए यी बाहुन को खोल्ड अोडने ले. ... ।
52,1, यो नेपाल का बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद / किराँत मासेर किश्नन बनाउने पनि यिनै हुनु देश को सब स्रम्पदा मासने भए यी बाहुन को खोल्ड अोडने ले. ... ।
53,1, भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन गरेर लोकतन्त्र को कम्मर मुनि को भुत्ला देखायो ।
54,0, भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन गरेर लोकतन्त्र को कम्मर मुनि को भुत्ला देखायो ।
55,1, नेपाल बिरोधि अपराधी हरु ले पालेको मिडिया कुनै चुइक्क बोलेनन् ।
56,1, कान्तिपुर यस्तै अपराधी दलाल हरु ले पालेको एउटा मिडिया हो ।
57,0, उपस्थित विद्वान हरु मा कस कस को गुठी छ ?
58,1, कुनाई जाती र समुदाय लाई मास्नु या खतम गर्नुछ भने उस को धर्म र सँन्स्कार खतम गर्नु पर्छ भन्ने नीति हो यो गुठि बिध्यायक नीति ।
59,1, यो सब भु माफिया को चाल हो भने नेपाल सरकार पनि तिनै भु माफिया को गोटि बन्दैछ ।
60,1, यो सब भु माफिया को चाल हो भने नेपाल सरकार पनि तिनै भु माफिया को गोटि बन्दैछ ।
61,1, विधेक फिर्ता हुनैपर्छ नत्र चर्को आन्दोलन हुने छ ?
62,1, दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।
63,1, दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।
64,1, याहाँ त लाटो देश मा बाठो तन्देरी भनेजस्तो भो ।
65,1, बामे का छाउरा हरु ले देस सक्क्ने भय ।
66,1, बामे का छाउरा हरु ले देस सक्क्ने भय ।
67,1, यो सबै काठ्माडो को न्यावार जाति लाइ हरुलाइ लगार्ने नियात हो ।
68,1, भ्रष्ट चोर दलाली हरु मठ मन्दिर को गुठी ब्याक्तीगत नाम मा गरिए को छ सरकार ले ठोस कदम चालोस ।
69,0, अहिले धर्म मात्र बेचे का छन र चोर हरु ले सत्ता मा आयपछी 30 / 35 हजार प्रत्येक नेपालि को टाउको मा रिण बोकाय को छ बरु पन्चायत ठिक रहेछ ।
70,1, अहिले धर्म मात्र बेचे का छन र चोर हरु ले सत्ता मा आयपछी 30 / 35 हजार प्रत्येक नेपालि को टाउको मा रिण बोकाय को छ बरु पन्चायत ठिक रहेछ ।
71,1, यो विधेक मा चोर भ्रस्टचारी बाहुन छेत्री हरु को नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय छ ।
72,1, यो विधेक मा चोर भ्रस्टचारी बाहुन छेत्री हरु को नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय छ ।
73,1," देश बेच्न उग्र रुप मा लागे का दलाल ले देश , डुबाय ।"
74,1," णिमेस्् जि , wह्य् चल्ल् पेओप्ले लिके षोम् प्रसद् . ःए इस् नोत् स्पेचिfइच् इन् हिस् wओर्द्स् अन्द् दोएस्न्त् रेfएर् तो अन्य् fअच्त् wहिले तल्किन्ग् !"
75,1," णिमेस्् जि , wह्य् चल्ल् पेओप्ले लिके षोम् प्रसद् . ःए इस् नोत् स्पेचिfइच् इन् हिस् wओर्द्स् अन्द् दोएस्न्त् रेfएर् तो अन्य् fअच्त् wहिले तल्किन्ग् !"
76,0, सोझा नेवार लाई नियमन गरि राजनीतिक पहुच भए का मान्छे को अघि पछि गर्न लाई लैए को गुठी बिदयक हो यो ।
77,1, सोझा नेवार लाई नियमन गरि राजनीतिक पहुच भए का मान्छे को अघि पछि गर्न लाई लैए को गुठी बिदयक हो यो ।
78,1, हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन अर्थात हाेचिविन काे मुत खाने हरु ले ख्रिस्चियन चर्च बनाउन खाेजेकाे हुन अब सबै नपालि जनता मिलेर देस निकाला गर्नु पर्छ ।
79,1, यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।
80,1, यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।
81,1, यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।
82,1, सनातन धर्म मास्ने योजना अनुसार आ को यो विधेक हो ।
83,1," सबै तहतब् का मा चोरै चोर भए , ।"
84,1," समस्या यो गुठि को होइन , समस्या हो सिद्धांन्त को खोल ओडे का भू-माफिया , तस्कर हरू को गुठी को जग्गा हडपने अनि बैद्यता दिने ।"
85,1, यो सबै समस्या को समाधान को लागि यो भ्रष्ट राज्य सत्ता सदा को लागि अन्त्य गर्न एक हौ ।
86,1, मन्द विष घोलेर खुबाइदैछ हरेक विधेयक ल्याएर जनता सजक नहुने हो भने टाउके र लाउके ले सबै चुस्ने स्रोत खोज्दैछन् ।
87,1, अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।
88,1, अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।
89,1, अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।
90,1, सात पुस्ता भने को कति होर सात पुस्ता भन्दा भदी भयो भनेर गूठी खाने खेल हो ।
91,1, नेपाल को अस्तित्व मेटाउन लाई यो गुठी कानुन रामबाण हो यस्पछी नेपाल लाई तहस नहस पार्न अरु केही गर्न पर्दैन चेतना भय ।
92,1, नेपाल को अस्तित्व मेटाउन लाई यो गुठी कानुन रामबाण हो यस्पछी नेपाल लाई तहस नहस पार्न अरु केही गर्न पर्दैन चेतना भय ।
93,1," अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।"
94,1," अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।"
95,1," अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।"
96,1, अब गूठी मा हस्तक्षेप गरिरहे का छन ।
97,1, म पनि बाहुन हु तर यी बाहुन क्षेत्री को नाम मा कलङ्क हरुलाइ चरम यातना दिएर मारिदिए हुन्छ ।
98,1, ता कि भोलि को दिन मा देश को सन्कृती बेचबिखन तथा देश द्रोह गरने धृस्टता कसै ले पनि नगरोस ।
99,1, म भित्र यिनि हरु प्रती चरम घृणा छ ।
100,0," गुठि ले गर्दा अमेरिका , बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे ।"
101,1, गुठि संचालन गर्न जानेन ।
102,1," राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन गर्छ कोरिएन क्रिश्चियन बिश्वबिद्धालय ले क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय को पदवी थाप्छ , सयौं क्रिश्चियन धर्मपरिवर्तन गर्न लगानी गर्ने संस्था दर्ता गर्न दिन्छ , यहि सरकार ले नेपाल को परंरागत धर्म , संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी मात्रै हो सम्पुर्ण सनातन धर्मावलम्बी सडक मा आउनुपर्छ ।"
103,1, ताई न तुइ को सधै को बहस ।
104,1, बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु ले याे एउ टा सडयन्त्र हाे ।
105,1, बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु ले याे एउ टा सडयन्त्र हाे ।
106,1, उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।
107,1, उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।
108,1, गुथी बिधेयक ल्यायेर देस नै बेच्ने भो बाहुन हरु ले हे भगवान कसरी हुन्छ बचाउ मेरो देश लाई ।
109,1, अब सत्ता धल्छ नेता मन्त्री साइद लागे हुन्छ काम छैन मुला हरु ।
110,1, ड्र् सुरेन्द्र क्च् लै बोलौनु पर्दैन म्च् चम्चा हरु ।
111,1," मा. पद्मा अर्याल लाई एक प्रश्न , बिष्णु पौडेल सम्धी हुन कि नाठो ?"
112,1," नेपाल को सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री हो , उहाँ कै खल्ली मा भए को णेपल् Eन्गिनेएरिन्ग् Cओल्लेगे सम्बधित भ्रष्टाचार को प्रमाण छानविन गर्न लामो समय लाग्दो रहेछ ।"
113,1, कति लाजमर्दो कुरा सरकारि जग्गा कति छ मन्त्रिलाइ नै थाहै छैन रे खालि बसेर तलब भत्ता खान्छौ लाज मान ।
114,1, मन्त्री भन्दा नि ठुलाे नेता बिस्नु पौडेल भुमाफिया को दलाल भए पछि बिचरा मन्त्री को पद मात्र होईन राजनीतिक जिवन नै समाप्त हुने होला अनि के को कार्वाहि ।
115,1, राजा हुदा न देश बिचियो न सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले ।
116,0, निमेष बन्जाडे ज्यु को प्रस्न को प्रस्तुति अति गहन छ ।
117,1," 5 वर्ष यो सरकार टिक्ने हो भने , सरकारी रा गुठी को जग्गा सबै सरकार मा बस्ने हुने हरु को हुने छ , , यो , 2 / ३ नेकापा सरकार नै भूमाफिया को हो ।"
118,0, युवराज कोइराला जस्ता देशभक्त मान्छे छन् र त नेपाल छ अनि हामी नेपाली हुन पाए का छौं ।
119,0," हत्स् ओff , सल्युट यु सर ।"
120,1, हाम्रो देश मा सबै दलाल र भर्स्त हरु को मात्र राज हुने भयो देश कहिले बिकास नहुने भयो नालायक चोर हरु ।
121,0, यस कार्यक्रम हेरे पछि यस देश मा अरु २ जना सच्चा देशभक्त हरु पनि रहेछन् भन्ने कुरा थाहा भयो ।
122,1, पद्मा अर्याल को कुरो सुन्दा त्यो पद्मा भन्ने आईमाई बिष्णु पौडेल को रखेल रैछ भन्ने मा कुनै दुईमत रहेन ।
123,1, अपराधी डाँका हरु ले स्वर्ग को सपना देखाएर किन राजा फाले का रहेछ्न भन्ने कुरा कम्मर मुनि को भुत्ला देखिने गरि प्रष्ट भयो ।
124,1, सम्मानित अदालत का न्यायधीश नै भ्रस्ट भए पछि गर्ने के ?
125,0," युबराज कोईराला जस्ता देश का सुपुत्र हरु छन , र त भ्रष्ट नेता , दलाल र भुमाफिया हरु लाई चैन सङ्ग देश लुट्न मिले को छैन नत्र त कहि खाली ठाउ रहने थिएन ।"
126,1," युबराज कोईराला जस्ता देश का सुपुत्र हरु छन , र त भ्रष्ट नेता , दलाल र भुमाफिया हरु लाई चैन सङ्ग देश लुट्न मिले को छैन नत्र त कहि खाली ठाउ रहने थिएन ।"
127,0, धन्यवाद युबराज कोइराला ज्यु ।
128,1, दुई तिहाइ को सरकार लाई लाज लाग्दैन ?
129,1, भन्ने बेला मा राजा को नाम मा भए को सबै सम्पती सरकार को नाम ल्याउनु पर्छ भन्न लाज पचे को नालायेक सरकार ।
130,0," होइन , हाम्रो देश मा युवराज कोइरालाज्यू जस्ता सपूत पनि रहेछन् , धन्य भएँ आज उहाँ का कुरा सुनेर ।"
131,0, यस्तो बदमासी र जनता को राष्ट्रिय सम्पति लुटिए को कुरा प्रथम चोटी खोजि अनुसन्धान गर्ने बर्तमान सरकार को कदम राम्रो सुरूवात ।
132,1, यी सबै लुटेरा हुन ।
133,1, वाेले को सुन्दा पनि रौ नै थदोओ हिन्xअ ।
134,1, होइन यो कान्तिपुर ले किन जहिल्यै पनि एकै किसिम का अपराधी हरु मात्र लिएर आउँछ हो राम्रो अतिथी नपाएर हो कि कान्तिपुर को पनि नियती खराब भएर हो ।
135,1, होइन यो कान्तिपुर ले किन जहिल्यै पनि एकै किसिम का अपराधी हरु मात्र लिएर आउँछ हो राम्रो अतिथी नपाएर हो कि कान्तिपुर को पनि नियती खराब भएर हो ।
136,1, यो केशब बडाल भन्दा अरु कुनै चोर छैन नेकपा मा यो साला को त अनुहार हेर्यो कि साइत नै बिग्रन्छ चोर ।
137,1, यो केशब बडाल भन्दा अरु कुनै चोर छैन नेकपा मा यो साला को त अनुहार हेर्यो कि साइत नै बिग्रन्छ चोर ।
138,0, 3 जना माहा पुरुष को कुरा ठिक हो तर मन्त्री ज्यु को कुरा ले प्रष्ट के बुज्न सकिन्छ भने आफ्नो पद र पाटी लाई बचाउदै छिन ।
139,1, 3 जना माहा पुरुष को कुरा ठिक हो तर मन्त्री ज्यु को कुरा ले प्रष्ट के बुज्न सकिन्छ भने आफ्नो पद र पाटी लाई बचाउदै छिन ।
140,1, नेपाल राज्य को ऐनकानुन भै दिए को भए सरकारी जमिन ब्याक्ति को नाम मा हुने थिएन ।
141,1, अन्त्य मा आयोग को बहना मा ढिसमिस गर्ने प्रपन्च हो ।
142,1, लाजमर्दो कुरा मन्त्रि पनि अन्धा धुन्ध के भईरा छ वल्ल सुनिराछ मन्त्रालय मा उपन्यास पढेर वस्छे क्या हो ।
143,1, यो केशब बडालभन्ने जन्तु लाई कुनै पनि त्व् च्यानल ले कहिल्यै नबोलाउनुहोस यो कहिल्यै साचो बोल्दैन र मन्त्री अर्याल पनि भु माफिया कै पक्ष मा छिन यस्ता पनि मन्त्री !
144,1, हे भगवान् येस्ता आइमाई पनि मन्त्रालय सम्हालेर बसे को छ्न यो देश मा. .. सुगा जस्तो जे सि का को छ पार्टि ले त्येहि मात्र बोले को आफ्नो न बुद्दि छ न अनुभव ... धिक्कार छ नेपाली जनता लाइ येस्ता आइमाई लाइ जिताउने अरु सब गुंगा र बहिरा मात्र छ्न कि क्या त्यो ठाउँ मा. .. ।
145,1, हे भगवान् येस्ता आइमाई पनि मन्त्रालय सम्हालेर बसे को छ्न यो देश मा. .. सुगा जस्तो जे सि का को छ पार्टि ले त्येहि मात्र बोले को आफ्नो न बुद्दि छ न अनुभव ... धिक्कार छ नेपाली जनता लाइ येस्ता आइमाई लाइ जिताउने अरु सब गुंगा र बहिरा मात्र छ्न कि क्या त्यो ठाउँ मा. .. ।
146,0, यो सरकार ले अत्यन्तै राम्रोकार्य गर्न लागे को छ ।
147,1, ज्यान को बाजि लगाएर अरु ले खोजेर ल्याए को मुदा मा सरकारलाइ किन गर्ब गर्ने बहिस्कार गर्पर्छ ।
148,1, स्याग्जा की मंन्त्री ले जिब्रो चपाएर बोली राकी छे यस लाई सबै कुरो थाछ ।
149,1, नेपाल का नेता / नेती को बोल्ने शैली हेरेर अचम्म लाग्यो ।
150,1," छोडि दिऊ भो नेता ज्यु हो तपाई हरू जस्तो गु खाने बाट यो देश मा केहि हुन्न अब बिकल्प आई सक्यो सबै को# , बैशाख 21 गते1 बजे माईतिघर मा आउनुहोला हेर्न ।"
151,1, काङ्ग्रेस यमाले माव रिप ।
152,0," इ जागिर गर्न आयकालाइ समर्थन गरिन्न , बरु बिबेकशिलसाझा लाइ गरिन्छ अब ।"
153,1," इ जागिर गर्न आयकालाइ समर्थन गरिन्न , बरु बिबेकशिलसाझा लाइ गरिन्छ अब ।"
154,1," तिमी मन्त्री हरु , सम्सद हरु सबै नराम्रो काम गर्न र जनता लाई दुख दिन , नेपाल र नेपाली लाई फसाउन खोजे को छ ?"
155,1," तिमी मन्त्री हरु , सम्सद हरु सबै नराम्रो काम गर्न र जनता लाई दुख दिन , नेपाल र नेपाली लाई फसाउन खोजे को छ ?"
156,1," तिमी मन्त्री हरु , सम्सद हरु सबै नराम्रो काम गर्न र जनता लाई दुख दिन , नेपाल र नेपाली लाई फसाउन खोजे को छ ?"
157,1," हे भगवान यी पद्मा आर्यल मन्त्री को कुरा सुन्दा यति रिस उच्च के गर्नु भोट दियर गल्ती गरे जनता ले , , ।"
158,1, केश्ब चोर लाई देखे पनि रिस उठछ ।
159,1, यो बडाल भन्ने मानिस त भूमाफिया हरू को हनुमान पो रहेछ ।
160,1," ओई माकुरि ति तिम्रा शक्तिशाली आयोग मा तिमी हरु कै झोल , हली , भतुवा राख्छौ कि अरु बाहिर को ड्र् सुरेन्द्र केसि, पाईलट बिजय लामा, अर्जुन सुबेदि हरु जस्ता लाई पनि राख्छौ तिम्रो आयोग मा तिम्रो भतुवा हरु मात्रै राख्छौ भने ति आयोग घाम मा मुतेर सुकाईदीए हुन्छ ।"
161,1," ओई माकुरि ति तिम्रा शक्तिशाली आयोग मा तिमी हरु कै झोल , हली , भतुवा राख्छौ कि अरु बाहिर को ड्र् सुरेन्द्र केसि, पाईलट बिजय लामा, अर्जुन सुबेदि हरु जस्ता लाई पनि राख्छौ तिम्रो आयोग मा तिम्रो भतुवा हरु मात्रै राख्छौ भने ति आयोग घाम मा मुतेर सुकाईदीए हुन्छ ।"
162,1," ओई माकुरि ति तिम्रा शक्तिशाली आयोग मा तिमी हरु कै झोल , हली , भतुवा राख्छौ कि अरु बाहिर को ड्र् सुरेन्द्र केसि, पाईलट बिजय लामा, अर्जुन सुबेदि हरु जस्ता लाई पनि राख्छौ तिम्रो आयोग मा तिम्रो भतुवा हरु मात्रै राख्छौ भने ति आयोग घाम मा मुतेर सुकाईदीए हुन्छ ।"
163,1," ओई माकुरि ति तिम्रा शक्तिशाली आयोग मा तिमी हरु कै झोल , हली , भतुवा राख्छौ कि अरु बाहिर को ड्र् सुरेन्द्र केसि, पाईलट बिजय लामा, अर्जुन सुबेदि हरु जस्ता लाई पनि राख्छौ तिम्रो आयोग मा तिम्रो भतुवा हरु मात्रै राख्छौ भने ति आयोग घाम मा मुतेर सुकाईदीए हुन्छ ।"
164,1, बालुवाटार को जाग्गा किन्न हुन्न त्यो त्यो जग्गा सरकार को हो भन्ने पनि थाहा नभए को कस्तो घाँस हो त्यो घसणी हो त्यो पौडेल ।
165,0, हजुर को कार्यक्रम राम्रो छ यी सबै ले आफ्नो पावर भएको बेला सरकारी जमीन को त के कुरा देश पनि बेचीसके यी चोर नेता हरू ।
166,1," केशव बडाल जस्तो माते को , चढे को र केपि को कट्टु जस्ता लाई बहस मा ल्याएर न्यायोचित जवाफ आउला जस्तो लाग्दैन मलाइ त ।"
167,1," केशव बडाल जस्तो माते को , चढे को र केपि को कट्टु जस्ता लाई बहस मा ल्याएर न्यायोचित जवाफ आउला जस्तो लाग्दैन मलाइ त ।"
